Player Name,Runs,Balls Faced,Strike Rate,Sixes,Fours,Threes,Twos,Ones,Dot Balls,Dismissals,Caught Out,Bowled,Run Out,LBW,Retired Hurt,Stumped,Caught and Bowled,Hit Wicket,Obstructed Field 
SC Ganguly,1349.0,1326.0,101.73453996983407,42.0,137.0,3.0,54.0,427.0,662.0,54.0,37,9,3,2,0,2,1,0,0
BB McCullum,2435.0,1954.0,124.61617195496416,106.0,248.0,3.0,94.0,610.0,893.0,89.0,53,14,6,13,0,2,1,0,0
RT Ponting,91.0,129.0,70.54263565891473,2.0,5.0,0.0,6.0,47.0,69.0,8.0,5,0,0,1,0,1,1,0,0
DJ Hussey,1322.0,1101.0,120.07266121707536,60.0,90.0,2.0,72.0,452.0,425.0,49.0,32,9,6,1,0,1,0,0,0
Mohammad Hafeez,64.0,84.0,76.19047619047619,2.0,7.0,0.0,0.0,24.0,51.0,8.0,6,1,1,0,0,0,0,0,0
R Dravid,2174.0,1918.0,113.34723670490095,28.0,269.0,1.0,118.0,681.0,819.0,77.0,47,16,6,2,0,1,5,0,0
W Jaffer,130.0,129.0,100.77519379844959,3.0,14.0,1.0,6.0,41.0,64.0,7.0,7,0,0,0,0,0,0,0,0
V Kohli,4115.0,3237.0,127.12388013592829,149.0,361.0,10.0,222.0,1303.0,1192.0,115.0,68,23,13,6,0,3,2,0,0
JH Kallis,2427.0,2291.0,105.93627237014404,44.0,255.0,8.0,113.0,888.0,982.0,89.0,60,16,9,3,0,0,1,0,0
CL White,971.0,774.0,125.45219638242895,38.0,76.0,2.0,49.0,335.0,274.0,35.0,22,4,4,1,0,1,3,0,0
MV Boucher,394.0,318.0,123.89937106918238,13.0,32.0,1.0,29.0,127.0,116.0,15.0,8,3,2,2,0,0,0,0,0
B Akhil,76.0,57.0,133.33333333333331,5.0,5.0,0.0,5.0,16.0,26.0,7.0,3,1,2,1,0,0,0,0,0
AA Noffke,9.0,12.0,75.0,0.0,1.0,0.0,0.0,5.0,6.0,1.0,0,0,1,0,0,0,0,0,0
P Kumar,332.0,314.0,105.73248407643312,17.0,22.0,0.0,24.0,94.0,157.0,33.0,11,14,6,1,0,0,1,0,0
Z Khan,113.0,128.0,88.28125,2.0,11.0,0.0,7.0,43.0,65.0,14.0,5,5,3,0,0,0,1,0,0
SB Joshi,6.0,16.0,37.5,0.0,0.0,0.0,0.0,6.0,10.0,2.0,1,0,1,0,0,0,0,0,0
PA Patel,1927.0,1752.0,109.98858447488584,27.0,248.0,8.0,87.0,570.0,811.0,89.0,48,18,8,8,0,4,3,0,0
ML Hayden,1107.0,839.0,131.94278903456495,44.0,121.0,2.0,48.0,257.0,367.0,28.0,17,7,0,1,0,2,1,0,0
MEK Hussey,1977.0,1648.0,119.96359223300972,52.0,198.0,11.0,96.0,648.0,643.0,52.0,29,15,5,2,0,1,0,0,0
MS Dhoni,3270.0,2419.0,135.17982637453494,140.0,236.0,11.0,231.0,991.0,810.0,92.0,60,10,15,2,0,2,3,0,0
SK Raina,4106.0,3059.0,134.2268715266427,161.0,360.0,10.0,219.0,1227.0,1081.0,122.0,87,9,9,3,0,7,7,0,0
JDP Oram,106.0,110.0,96.36363636363636,5.0,6.0,0.0,3.0,46.0,50.0,8.0,5,2,0,0,0,0,1,0,0
S Badrinath,1441.0,1245.0,115.7429718875502,28.0,154.0,1.0,85.0,484.0,493.0,48.0,31,2,5,4,0,3,3,0,0
K Goel,218.0,239.0,91.21338912133892,9.0,17.0,1.0,11.0,71.0,130.0,14.0,7,2,3,1,0,1,0,0,0
JR Hopes,417.0,314.0,132.80254777070064,11.0,49.0,1.0,19.0,114.0,120.0,17.0,13,0,2,2,0,0,0,0,0
KC Sangakkara,1687.0,1424.0,118.46910112359552,27.0,195.0,5.0,81.0,563.0,552.0,69.0,40,14,6,2,0,3,4,0,0
Yuvraj Singh,2339.0,1862.0,125.61761546723952,133.0,175.0,3.0,103.0,626.0,822.0,90.0,70,6,3,5,0,3,2,1,0
SM Katich,241.0,191.0,126.1780104712042,8.0,26.0,1.0,15.0,56.0,85.0,10.0,6,2,2,0,0,0,0,0,0
IK Pathan,1148.0,982.0,116.90427698574335,38.0,88.0,2.0,76.0,405.0,372.0,52.0,30,8,9,1,0,3,1,0,0
T Kohli,11.0,20.0,55.00000000000001,1.0,0.0,0.0,0.0,5.0,14.0,3.0,2,0,1,0,0,0,0,0,0
YK Pathan,2779.0,1953.0,142.29390681003585,143.0,231.0,4.0,125.0,735.0,715.0,90.0,64,8,10,4,0,1,2,0,1
SR Watson,2557.0,1869.0,136.8111289459604,121.0,252.0,8.0,97.0,605.0,786.0,79.0,42,24,7,3,0,2,1,0,0
M Kaif,259.0,258.0,100.3875968992248,6.0,22.0,1.0,23.0,86.0,120.0,16.0,9,3,0,1,0,2,1,0,0
DS Lehmann,18.0,19.0,94.73684210526315,0.0,3.0,0.0,0.0,6.0,10.0,2.0,0,0,0,2,0,0,0,0,0
